City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
247,Sao Filipe,CV,14.8961,-24.4956,75.6,59,52,11.52,broken clouds,2022-02-13 19:47:58
248,Neryungri,RU,56.6709,124.6491,-34.96,100,66,2.06,broken clouds,2022-02-13 19:54:07
249,Saint-Avold,FR,49.1027,6.7006,50.43,68,83,15.73,broken clouds,2022-02-13 19:54:08
250,Atlacomulco,MX,19.7989,-99.8744,62.49,36,62,4.25,broken clouds,2022-02-13 19:54:08
251,Viedma,AR,-40.8135,-62.9967,92.39,13,0,7.9,clear sky,2022-02-13 19:50:20
252,Sobolevo,RU,54.4299,31.8996,23.65,84,56,13.38,broken clouds,2022-02-13 19:54:09
253,Kirakira,SB,-10.4544,161.9205,79.48,84,97,8.48,overcast clouds,2022-02-13 19:48:13
254,Banff,CA,51.1762,-115.5698,42.03,52,98,6.91,overcast clouds,2022-02-13 19:54:09
255,San Jose,US,37.3394,-121.895,78.57,46,0,4.61,clear sky,2022-02-13 19:54:09
256,Antofagasta,CL,-23.65,-70.4,72.21,61,80,10.6,broken clouds,2022-02-13 19:46:34
257,Laguna De Duero,ES,41.5815,-4.7233,46.53,79,100,21.59,overcast clouds,2022-02-13 19:54:10
258,Port Hedland,AU,-20.3167,118.5667,84.25,74,4,11.5,clear sky,2022-02-13 19:48:33
259,Akyab,MM,20.15,92.9,64.33,57,87,7.4,overcast clouds,2022-02-13 19:50:01
